;name;author;narrator;time;releasedate;language;stars;price;ratings
183;A Text Before Dying;McGarveyBlack;GailShalan;489;2021-10-05;English;0.0;703.0;0
184;The Garden;JonGordon;JonGordon;84;2020-11-09;English;0.0;233.0;0
185;The Other Side of War;KatharinePrescottWormeley;KateMulligan;274;2019-06-25;English;0.0;773.0;0
186;Not Nice;Dr.AzizGazipuraPsyD;Dr.AzizGazipuraPsyD;1082;2017-11-30;English;4.5;836.0;6
187;Røv og gulvsand;AnitaKrumbach;GustavScavenius;75;2022-01-13;danish;0.0;233.0;0
188;Dracula;BramStoker;PatriciaAllison,RachelAtkins,DaisyEdgar-Jones,;1105;2021-10-21;English;0.0;873.0;0
189;Thou Shall Not Pass;LeoMoynihan;ShaunGrindell;363;2021-02-25;English;0.0;585.0;0
190;101 Ways to Magnetize Money...in Any Economy;MattFurey;MattFurey;300;2016-03-01;English;0.0;1439.0;0
192;Renewal;EknathEaswaran;PaulBazely;83;2009-10-09;English;2.5;166.0;3
193;A Bittersweet Garden;CarenJ.Werlinger;AlanaKerrCollins;603;2019-06-04;English;5.0;668.0;1
194;El Hombre Espiritual [The Spiritual Man];WatchmanNee;SergioBustos;2068;2020-09-08;spanish;0.0;1382.0;0
195;When You Reach Me;RebeccaStead;CynthiaHolloway;259;2009-07-14;English;3.5;703.0;3
196;Natural Forces Trilogy;JeanGill;JannieMeisberger;1753;2021-09-30;English;0.0;703.0;0
197;Death Valley Aliens;TedFaye;TedFaye,TimFrance,OHKrill;69;2020-06-18;English;0.0;468.0;0
198;Rough Edge;LaurenLandish;CarlyRobins,LanceGreenfield;676;2020-06-03;English;0.0;836.0;0
199;Chandrakanta (Hindi Edition);DevkiNandanKhatri;ManishSinghal;761;2021-07-19;Hindi;4.5;585.0;15
200;The Star Girl;LineKyedKnudsen,SigneHolstHansen-translator;JenniferWagstaffe;36;2021-10-29;English;0.0;99.0;0
201;Bad Boy;MichaelGliksman;AlanKing;201;2006-08-15;English;0.0;568.0;0
202;Jeeves and the Unwanted Guest [Classic Tales Edition];P.G.Wodehouse;B.J.Harrison;40;2016-08-09;English;4.5;47.0;2
203;Blood, Steel, and Canvas;CraigA.Wilson;JohnMcLain;443;2013-04-10;English;0.0;602.0;0
204;Eat, Pray, #FML;GabrielleStone;GabrielleStone;579;2020-02-11;English;2.5;703.0;2
205;Jungle Doctor and the Whirlwind;PaulWhite;PaulMichael;211;2012-07-13;English;0.0;351.0;0
206;The Secret Garden (Dramatized);FrancesHodgsonBurnett;BarbaraRosenblat,MichaelCrouch,GeorgiaLeeSchultz,;108;2022-01-25;English;0.0;632.0;0
207;Expert Secrets - Body Language and Manipulation;MaxwellJensen;JosephThorson;142;2021-04-22;English;0.0;398.0;0
208;Lightning Struck;NicholeVan;P.J.Ochlan,NicolZanzarella;651;2020-11-10;English;0.0;585.0;0
209;ささき隊長のみぢかなコワイいきもの;ささき隊長;ささき隊長;54;2021-09-22;japanese;0.0;139.0;0
210;The Judge's House;BramStoker;PeterSilverleaf;46;2022-01-10;English;0.0;99.0;0
211;Egyptian Mythology: Classic Stories of Egyptian Myths, Gods, Goddesses, Heroes, and Monsters;ScottLewis;OliverHunt;316;2018-11-20;English;5.0;668.0;3
212;The Adrenal Thyroid Revolution;AvivaRomm;TanyaEby;545;2017-01-31;English;0.0;1350.0;0
213;The Dragon's Tooth;N.D.Wilson;ThomasVincentKelly;788;2011-08-23;English;0.0;1206.0;0
214;Masters of Modern Soccer;GrantWahl;GrantWahl;419;2018-05-01;English;0.0;879.0;0
215;Learn Swedish: Ultimate Getting Started with Swedish;InnovativeLanguageLearningLLC;InnovativeLanguageLearning;489;2021-11-15;English;0.0;1172.0;0
216;Make Work Matter;MichaelaO'DonnellPhD;MichaelaO'Donnell;346;2022-01-18;English;0.0;586.0;0
217;The Blazing World;MargaretCavendish;LucyScott;247;2022-02-11;English;0.0;352.0;0
218;Menneskesmugling;Variousauthors;FinnAndersen;38;2021-12-03;danish;0.0;99.0;0
219;My Super Sister and the Birthday Party;GwynethRees;SophieAldred;142;2013-08-29;English;0.0;349.0;0
220;Bridget Jones;HelenFielding;HelenFielding;194;2007-01-30;English;0.0;323.0;0
221;Wormwood Summer;KaiButler;GregTremblay;659;2021-09-24;English;0.0;836.0;0
222;Abraham Lincoln: A Life, Volume Two;MichaelBurlingame;SeanPratt;3225;2016-02-18;English;0.0;1338.0;0
223;Switch in the Red (Spanish edition);SusanaVallejoChavarino;OlgaMaríaGarcíaPanadero;592;2021-09-15;spanish;0.0;585.0;0
224;Hooked;MichaelMoss;ScottBrick;540;2021-03-04;English;4.5;888.0;3
225;Fantastic Beasts and Where to Find Them;J.K.Rowling,NewtScamander;EddieRedmayne;114;2017-03-14;English;4.5;652.0;57
226;The Making of Slap Shot;JonathonJackson;FleetCooper;571;2012-08-01;English;0.0;668.0;0
227;F*ck Happiness;ArielGore;LiisaIvary;374;2020-05-12;English;0.0;702.0;0
228;Change Your Brain and Stop Procrastination;RyanMiller,JohnScott;TimothyBurke;656;2020-06-12;English;0.0;836.0;0
229;Defending Harlow;SusanStoker;StellaBloom;558;2019-06-04;English;5.0;502.0;1
230;The Loop;BenOliver;JulianElfer;495;2020-04-07;English;0.0;820.0;0
231;Roma Antiqua;JohnClarke,JörgFündling-Übersetzer;MichaelHametner,KerstinHoffmann;70;2022-03-30;german;0.0;233.0;0
232;1分間日本史1200;石井貴士;大島昭彦;397;2020-06-29;japanese;0.0;697.0;0
233;Али: Жизнь. Часть 1;ДжонатанЭйг;ИльяДементьев;624;2021-11-17;russian;0.0;233.0;0
234;Alan Turing;SimoneButtazzi;ClaudioBorgianni;58;2012-10-10;italian;0.0;75.0;0
235;Weihnachtsbote auf vier Pfoten;SheilaRoberts;BerndReheuser;292;2013-09-20;german;0.0;267.0;0
236;La villa degli amori sospesi;LenaJohannson;SabineCerullo;395;2021-12-16;italian;0.0;843.0;0
237;Das Kurdenkreuz;KarlMay;JulianLübbers;104;2022-01-04;german;0.0;133.0;0
238;Chuang Tsu;GiaFuFeng,JaneEnglish;ChungliangAlHuang;167;2014-05-23;English;0.0;468.0;0
239;Starting with Max;YingYing;Ming-ZhuHii;298;2014-03-01;English;0.0;585.0;0
240;Depraved;JohnGlatt;ShaunGrindell;383;2021-12-28;English;0.0;586.0;0
241;Never Have I Ever;LaurenBlakely;AmandaRonconi,JasonClarke;500;2019-07-30;English;4.5;1003.0;8
242;The Latest from the Greatest, Vol. 2;DarrellWayne;DarrellWayne;438;2018-02-01;English;0.0;820.0;0
243;Out of Our Minds;FelipeFernandez-Armesto;KrisDyer;1173;2019-07-25;English;5.0;949.0;1
244;Visualization for Weight Loss;JonGabriel;JonGabriel;267;2016-02-26;English;5.0;586.0;4
245;Under nattens stjerner;MarciaWillett;TammiØst;358;2022-01-06;danish;0.0;468.0;0
246;I Am an Octopus;TrishaSpeedShaskan,ToddOuren;anonymous;6;2022-03-28;English;0.0;82.0;0
247;Bad Indians;DeborahA.Miranda;DeborahMiranda;483;2021-07-12;English;0.0;668.0;0
248;Among You;JakeWood;JoeCoen;1022;2014-02-11;English;0.0;873.0;0
249;Sünderblut;ChristophHeiden;Omid-PaulEftekhari;452;2021-10-22;german;0.0;602.0;0
250;Blood and Treachery (A Scottish Crime Thriller);JDKirk;AngusKing;555;2020-08-11;English;0.0;668.0;0
251;Correr o morir;KilianJornet;LuisTorrelles;385;2021-08-02;spanish;0.0;307.0;0
252;My Sister's Ex;CydneyRax;BahniTurpin,AdenreleOjo;551;2009-08-04;English;0.0;1005.0;0
253;Die kleine Rosalinda im Urlaub auf Kreta;MonikaSchuberth;MonikaSchuberth;27;2019-12-10;german;0.0;65.0;0
254;La petite fille aux allumettes;HansChristianAndersen;LydieLacroix;6;2009-10-23;french;0.0;184.0;0
